NAICS,Description of NAICS,Set-Aside
488999,All Other Support Activities for Transportation,WOSB
491110,Postal Service,WOSB
492110,Couriers and Express Delivery Services,WOSB
492210,Local Messengers and Local Delivery,WOSB
493110,General Warehousing and Storage,WOSB
493120,Refrigerated Warehousing and Storage,WOSB
493130,Farm Product Warehousing and Storage,WOSB
493190,Other Warehousing and Storage,WOSB
511110,Newspaper Publishers,WOSB
511120,Periodical Publishers,WOSB
511130,Book Publishers,WOSB
511140,Directory and Mailing List Publishers,WOSB
511191,Greeting Card Publishers,WOSB
511199,All Other Publishers,WOSB
511210,Software Publishers,WOSB
512110,Motion Picture and Video Production,EDWOSB
512120,Motion Picture and Video Distribution,EDWOSB
512131,Motion Picture Theaters (except Drive-Ins),EDWOSB
512132,Drive-In Motion Picture Theaters,EDWOSB
512191,Teleproduction and Other Postproduction Services,EDWOSB
512199,Other Motion Picture and Video Industries,EDWOSB
512230,Music Publishers,WOSB
512240,Sound Recording Studios,WOSB
512250,Record Production and Distribution,WOSB
512290,Other Sound Recording Industries,WOSB
515111,Radio Networks,WOSB
515112,Radio Stations,WOSB
515120,Television Broadcasting,WOSB
515210,Cable and Other Subscription Programming,WOSB
517311,Wired Telecommunications Carriers,WOSB
517312,Wireless Telecommunications Carriers (except Satellite),WOSB
517410,Satellite Telecommunications,WOSB
517911,Telecommunications Resellers,WOSB
517919,All Other Telecommunications,WOSB
518210,"Data Processing, Hosting, and Related Services",WOSB
519110,News Syndicates,WOSB
519120,Libraries and Archives,WOSB
519130,Internet Publishing and Broadcasting and Web Search Portals,WOSB
519190,All Other Information Services,WOSB
522310,Mortgage and Nonmortgage Loan Brokers,WOSB
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",WOSB
522390,Other Activities Related to Credit Intermediation,WOSB
523110,Investment Banking and Securities Dealing,WOSB
523120,Securities Brokerage,WOSB
523130,Commodity Contracts Dealing,WOSB
523140,Commodity Contracts Brokerage,WOSB
523910,Miscellaneous Intermediation,WOSB
523920,Portfolio Management,WOSB
523930,Investment Advice,WOSB
523991,"Trust, Fiduciary, and Custody Activities",WOSB
523999,Miscellaneous Financial Investment Activities,WOSB
524113,Direct Life Insurance Carriers,WOSB
524114,Direct Health and Medical Insurance Carriers,WOSB
524126,Direct Property and Casualty Insurance Carriers,WOSB
524127,Direct Title Insurance Carriers,WOSB
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",WOSB
524130,Reinsurance Carriers,WOSB
524210,Insurance Agencies and Brokerages,WOSB
524291,Claims Adjusting,WOSB
524292,Third Party Administration of Insurance and Pension Funds,WOSB
524298,All Other Insurance Related Activities,WOSB
525110,Pension Funds,WOSB
525120,Health and Welfare Funds,WOSB
525190,Other Insurance Funds,WOSB
